gene_symbol,legacy_variability_bin
CAB39L,6
CABCOCO1,5
CABIN1,6
CABLES1,0
CABLES2,1
CABP5,6
CABP7,0
CABYR,9
CACHD1,6
CACNA1A,4
CACNA1B,0
CACNA1C,4
CACNA1D,2
CACNA1E,9
CACNA1F,4
CACNA1G,3
CACNA1H,7
CACNA1I,6
CACNA1S,8
CACNA2D1,6
CACNA2D2,4
CACNA2D3,0
CACNB1,8
CACNB2,6
CACNB3,6
CACNG1,9
CACNG4,3
CACNG5,0
CACNG6,6
CACNG7,8
CACTIN,6
CACUL1,7
CACYBP,7
CAD,3
CADM1,8
CADM2,7
CADM3,6
CADM4,0
CADPS,8
CADPS2,3
CAGE1,8
CALB2,7
CALCA,0
CALCOCO1,4
CALCOCO2,1
CALCR,3
CALCRL,2
CALD1,4
CALHM1,3
CALHM4,0
CALHM5,9
CALHM6,4
CALM1,6
CALM3,6
CALML4,2
CALML6,4
CALN1,6
CALR,9
CALR3,0
CALY,3
CAMK1,9
CAMK1D,7
CAMK1G,6
CAMK2A,7
CAMK2D,3
CAMK2G,0
CAMK4,9
CAMKK1,4
CAMKK2,9
CAMKMT,6
CAMKV,2
CAMLG,7
CAMP,2
CAMSAP1,2
CAMSAP2,3
CAMTA1,4
CAMTA2,2
CAND1,1
CAND2,6
CANX,4
CAP2,4
CAPG,1
CAPN1,4
CAPN10,6
CAPN11,9
CAPN12,2
CAPN14,2
CAPN15,9
CAPN2,6
CAPN3,3
CAPN5,1
CAPN6,6
CAPN7,4
CAPN8,1
CAPNS1,0
CAPRIN1,2
CAPRIN2,3
CAPS,6
CAPS2,4
CAPZA2,3
CAPZB,3
CAR1,0
CARD10,3
CARD11,4
CARD19,9
CARD6,3
CARD9,4
CARF,2
CARHSP1,7
CARM1,0
CARMIL1,6
CARMIL2,8
CARMIL3,7
CARNMT1,6
CARNS1,7
CARS2,4
CASC3,6
CASD1,7
CASK,0
CASKIN2,6
CASP12,0
CASP14,4
CASP2,3
CASP3,2
CASP4,3
CASP6,3
CASP7,0
CASP8,2
CASP8AP2,2
CASP9,0
CASQ1,6
CASQ2,9
CASR,7
CASS4,0
CAST,1
CASTOR1,2
CASZ1,1
CAT,6
CATIP,1
CATSPER2,4
CATSPER3,2
CATSPERD,7
CATSPERE,9
CATSPERG,4
CAV1,6
CAV2,8
CAV3,0
CAVIN1,0
CAVIN3,4
CAVIN4,2
CBARP,2
CBFA2T2,6
CBFA2T3,4
CBFB,8
CBL,9
CBLB,3
CBLC,0
CBLL1,4
CBLN1,4
CBLN2,2
CBLN3,6
CBLN4,0
CBR3,6
CBR4,6
CBX1,0
CBX2,2
CBX3,0
CBX4,2
CBX5,4
CBX6,6
